datetime,open,high,low,close,volume
2023-01-02 09:15:00,1270.0,1286.975,1263.175,1271.35,648520.0
2023-01-02 13:15:00,1271.95,1274.025,1267.625,1271.9,349424.0
2023-01-03 09:15:00,1272.0,1281.5,1260.95,1266.5,697434.0
2023-01-03 13:15:00,1267.0,1274.5,1262.45,1272.25,412292.0
2023-01-04 09:15:00,1275.85,1275.85,1250.0,1255.95,770716.0
2023-01-04 13:15:00,1255.325,1257.675,1236.55,1240.175,604600.0
2023-01-05 09:15:00,1240.75,1252.5,1228.425,1237.9,830962.0
2023-01-05 13:15:00,1237.825,1259.175,1235.7,1257.0,458640.0
2023-01-06 09:15:00,1255.95,1270.275,1244.0,1245.875,589416.0
2023-01-06 13:15:00,1246.025,1256.425,1241.025,1250.075,415674.0
2023-01-09 09:15:00,1258.5,1271.0,1244.475,1247.075,556766.0
2023-01-09 13:15:00,1246.275,1251.25,1242.5,1247.975,507870.0
2023-01-10 09:15:00,1253.0,1253.0,1228.25,1229.0,513936.0
2023-01-10 13:15:00,1228.75,1242.475,1228.75,1237.45,397864.0
2023-01-11 09:15:00,1245.875,1255.925,1228.5,1230.0,884820.0
2023-01-11 13:15:00,1230.425,1237.5,1227.5,1232.925,460260.0
2023-01-12 09:15:00,1235.0,1239.675,1221.05,1223.15,458560.0
2023-01-12 13:15:00,1222.95,1226.5,1220.0,1223.5,346878.0
2023-01-13 09:15:00,1224.375,1230.0,1218.0,1225.15,764538.0
2023-01-13 13:15:00,1225.5,1236.125,1225.375,1231.5,289710.0
2023-01-16 09:15:00,1225.0,1252.5,1224.5,1237.975,919768.0
2023-01-16 13:15:00,1238.45,1242.1,1232.0,1238.0,255932.0
2023-01-17 09:15:00,1241.9,1241.975,1219.65,1222.1,555202.0
2023-01-17 13:15:00,1222.2,1234.975,1217.5,1231.4,626214.0
2023-01-18 09:15:00,1232.5,1238.0,1212.5,1217.225,674740.0
2023-01-18 13:15:00,1217.15,1222.375,1216.0,1217.5,630582.0
2023-01-19 09:15:00,1217.0,1220.0,1203.0,1216.0,550996.0
2023-01-19 13:15:00,1215.975,1227.5,1215.0,1226.5,528178.0
2023-01-20 09:15:00,1226.5,1257.0,1223.75,1255.25,1133742.0
2023-01-20 13:15:00,1255.0,1261.0,1250.625,1256.75,623486.0
2023-01-23 09:15:00,1264.0,1266.725,1249.85,1261.5,731826.0
2023-01-23 13:15:00,1261.425,1264.65,1258.425,1261.35,435680.0
2023-01-24 09:15:00,1263.325,1273.225,1257.5,1269.825,541908.0
2023-01-24 13:15:00,1270.5,1275.0,1267.0,1268.75,293550.0
2023-01-25 09:15:00,1272.05,1272.05,1245.175,1255.575,866370.0
2023-01-25 13:15:00,1255.25,1263.675,1254.425,1263.0,575700.0
2023-01-27 09:15:00,1262.925,1270.975,1209.05,1227.55,1115218.0
2023-01-27 13:15:00,1226.4,1236.375,1223.75,1232.5,487066.0
2023-01-30 09:15:00,1230.0,1250.95,1211.625,1245.1,811750.0
2023-01-30 13:15:00,1245.575,1249.4,1228.05,1235.75,335616.0
2023-01-31 09:15:00,1241.85,1284.975,1235.0,1274.15,1717364.0
2023-01-31 13:15:00,1274.15,1281.0,1268.25,1280.75,683574.0
2023-02-01 09:15:00,1287.5,1296.5,1216.7,1232.725,1899032.0
2023-02-01 13:15:00,1232.5,1233.9,1150.5,1180.075,2744644.0
2023-02-02 09:15:00,1150.025,1203.975,1150.025,1199.5,1290524.0
2023-02-02 13:15:00,1199.5,1202.25,1176.575,1180.5,543374.0
2023-02-03 09:15:00,1182.5,1194.875,1155.3,1166.425,869064.0
2023-02-03 13:15:00,1166.45,1179.45,1163.025,1172.5,446830.0
2023-02-06 09:15:00,1175.8,1208.075,1175.0,1197.4,1368564.0
2023-02-06 13:15:00,1196.05,1205.675,1195.15,1200.25,349650.0
2023-02-07 09:15:00,1206.95,1227.5,1203.025,1213.35,1069406.0
2023-02-07 13:15:00,1214.025,1219.1,1210.0,1219.0,386984.0
2023-02-08 09:15:00,1219.575,1230.0,1208.3,1221.475,561878.0
2023-02-08 13:15:00,1221.7,1224.35,1215.15,1217.975,237832.0
2023-02-09 09:15:00,1220.0,1230.425,1213.5,1225.8,606658.0
2023-02-09 13:15:00,1225.9,1238.0,1180.0,1197.0,1676056.0
2023-02-10 09:15:00,1189.525,1223.525,1187.5,1195.0,2135474.0
2023-02-10 13:15:00,1195.15,1205.0,1194.475,1205.0,341108.0
2023-02-13 09:15:00,1203.0,1234.75,1201.3,1220.875,1648430.0
2023-02-13 13:15:00,1222.0,1232.45,1218.025,1224.0,607542.0
2023-02-14 09:15:00,1226.825,1241.5,1221.575,1233.5,1095766.0
2023-02-14 13:15:00,1232.775,1235.725,1228.575,1235.25,313686.0
2023-02-15 09:15:00,1240.0,1247.475,1228.025,1241.9,892884.0
2023-02-15 13:15:00,1241.9,1245.0,1236.65,1241.45,402824.0
2023-02-16 09:15:00,1247.0,1295.0,1242.55,1290.5,1986226.0
2023-02-16 13:15:00,1290.95,1355.0,1289.475,1331.85,4272504.0
2023-02-17 09:15:00,1334.0,1374.0,1313.775,1317.3,6451376.0
2023-02-17 13:15:00,1317.3,1339.975,1310.525,1316.0,2019798.0
2023-02-20 09:15:00,1322.0,1322.0,1282.525,1297.95,1527582.0
2023-02-20 13:15:00,1297.95,1298.625,1285.5,1292.625,745782.0
2023-02-21 09:15:00,1298.5,1327.0,1290.575,1309.55,2531012.0
2023-02-21 13:15:00,1309.5,1315.0,1305.05,1314.0,460570.0
2023-02-22 09:15:00,1313.0,1313.975,1275.5,1278.2,1516672.0
2023-02-22 13:15:00,1278.2,1282.5,1270.575,1280.375,821606.0
2023-02-23 09:15:00,1283.575,1286.725,1264.0,1274.525,1023816.0
2023-02-23 13:15:00,1274.45,1277.0,1268.5,1272.5,433718.0
2023-02-24 09:15:00,1275.675,1279.75,1255.95,1260.375,796592.0
2023-02-24 13:15:00,1260.475,1271.0,1259.5,1270.475,499556.0
2023-02-27 09:15:00,1265.0,1280.3,1258.625,1268.325,794346.0
2023-02-27 13:15:00,1267.475,1289.475,1265.3,1288.025,678388.0
2023-02-28 09:15:00,1292.5,1303.5,1284.3,1288.275,1043236.0
2023-02-28 13:15:00,1288.0,1292.225,1278.575,1289.5,478820.0
2023-03-01 09:15:00,1290.0,1338.95,1287.6,1328.0,1908700.0
2023-03-01 13:15:00,1328.0,1344.975,1324.0,1340.0,892140.0
2023-03-02 09:15:00,1355.5,1364.05,1329.225,1339.1,2234040.0
2023-03-02 13:15:00,1339.275,1362.85,1337.5,1350.0,1331718.0
2023-03-03 09:15:00,1357.475,1381.175,1350.85,1356.425,1759730.0
2023-03-03 13:15:00,1356.0,1360.725,1340.55,1346.45,784594.0
2023-03-06 09:15:00,1357.475,1363.5,1348.05,1356.4,1049330.0
2023-03-06 13:15:00,1356.475,1358.55,1351.825,1357.0,440874.0
2023-03-08 09:15:00,1352.5,1446.325,1352.5,1443.825,5792832.0
2023-03-08 13:15:00,1443.475,1447.0,1417.5,1430.5,2926626.0
2023-03-09 09:15:00,1433.975,1446.625,1417.625,1429.85,1871688.0
2023-03-09 13:15:00,1429.85,1439.05,1427.95,1433.65,805720.0
2023-03-10 09:15:00,1427.475,1456.5,1408.35,1430.5,2334982.0
2023-03-10 13:15:00,1430.625,1433.0,1420.0,1427.5,784862.0
2023-03-13 09:15:00,1431.8,1456.9,1410.05,1414.8,2839304.0
2023-03-13 13:15:00,1414.8,1420.0,1387.575,1399.05,1187962.0
2023-03-14 09:15:00,1403.0,1406.325,1367.0,1389.35,1536566.0
2023-03-14 13:15:00,1389.025,1394.6,1382.0,1394.0,658234.0
2023-03-15 09:15:00,1401.925,1435.325,1395.5,1403.85,2231062.0
2023-03-15 13:15:00,1403.275,1410.75,1387.525,1392.5,785068.0
2023-03-16 09:15:00,1397.5,1398.75,1332.775,1358.825,1907804.0
2023-03-16 13:15:00,1358.825,1368.3,1355.575,1364.0,630234.0
2023-03-17 09:15:00,1415.0,1425.0,1387.875,1396.75,3068022.0
2023-03-17 13:15:00,1396.6,1405.0,1387.8,1403.0,986466.0
2023-03-20 09:15:00,1393.95,1393.95,1315.0,1320.5,2404632.0
2023-03-20 13:15:00,1320.125,1330.0,1308.525,1323.0,1626706.0
2023-03-21 09:15:00,1328.5,1330.225,1296.475,1322.5,1932170.0
2023-03-21 13:15:00,1321.95,1336.0,1320.5,1328.0,714746.0
2023-03-22 09:15:00,1330.0,1337.675,1315.0,1317.8,870342.0
2023-03-22 13:15:00,1317.775,1321.0,1307.5,1312.5,449196.0
2023-03-23 09:15:00,1246.5,1252.0,1237.675,1250.975,6240630.0
2023-03-23 13:15:00,1250.975,1259.9,1243.65,1252.375,4275730.0
2023-03-24 09:15:00,1260.0,1304.95,1260.0,1303.85,6974748.0
2023-03-24 13:15:00,1303.675,1307.4,1275.55,1279.5,2564932.0
2023-03-27 09:15:00,1262.5,1303.45,1262.5,1300.0,3683908.0
2023-03-27 13:15:00,1299.975,1317.8,1298.575,1312.0,2107082.0
2023-03-28 09:15:00,1314.5,1325.0,1310.975,1321.15,2751108.0
2023-03-28 13:15:00,1321.5,1323.65,1312.05,1313.375,965184.0
2023-03-29 09:15:00,1314.45,1322.175,1308.95,1317.25,985396.0
2023-03-29 13:15:00,1317.0,1358.0,1316.5,1353.5,2195292.0
2023-04-03 09:15:00,1380.0,1385.35,1358.75,1359.175,1254592.0
2023-04-03 13:15:00,1359.175,1364.5,1354.2,1363.5,770482.0
2023-04-05 09:15:00,1363.5,1367.9,1335.0,1336.15,1451388.0
2023-04-05 13:15:00,1336.15,1365.0,1335.0,1363.0,885914.0
2023-04-06 09:15:00,1364.0,1387.0,1356.875,1378.0,2249734.0
2023-04-06 13:15:00,1378.0,1386.75,1372.5,1383.0,634726.0
2023-04-10 09:15:00,1386.5,1414.0,1383.5,1405.0,1281056.0
2023-04-10 13:15:00,1404.575,1411.5,1400.475,1405.8,557466.0
2023-04-11 09:15:00,1414.475,1423.5,1406.075,1409.525,873470.0
2023-04-11 13:15:00,1409.125,1419.0,1409.05,1411.5,466952.0
2023-04-12 09:15:00,1412.275,1419.3,1402.15,1403.95,540508.0
2023-04-12 13:15:00,1403.95,1407.325,1396.35,1405.0,457046.0
2023-04-13 09:15:00,1407.55,1413.0,1397.5,1398.55,477402.0
2023-04-13 13:15:00,1398.175,1406.5,1397.7,1402.0,373046.0
2023-04-17 09:15:00,1402.0,1416.95,1395.5,1409.5,823074.0
2023-04-17 13:15:00,1409.5,1419.95,1407.25,1415.0,606086.0
