datetime,open,high,low,close,volume
2023-01-02,313.03,315.96,311.85,314.88,5951893.0
2023-01-03,313.6,315.35,312.42,313.22,5997051.0
2023-01-04,313.93,314.55,308.4,309.34,6689769.0
2023-01-05,310.9,315.87,310.48,315.44,8171437.0
2023-01-06,316.63,319.32,315.11,316.96,8284135.0
2023-01-09,318.75,322.87,318.0,319.8,10618786.0
2023-01-10,319.65,320.13,314.59,315.4,6949605.0
2023-01-11,317.0,317.0,313.41,313.88,4584293.0
2023-01-12,315.4,315.59,310.38,312.04,6638422.0
2023-01-13,312.04,314.31,308.77,311.0,14412671.0
2023-01-16,312.51,314.26,309.86,312.37,8253942.0
2023-01-17,312.37,315.49,311.33,314.31,13712537.0
2023-01-18,315.96,318.38,314.45,316.58,12555527.0
2023-01-19,315.96,317.52,313.74,314.21,8346130.0
2023-01-20,314.07,317.1,311.47,316.53,13103664.0
2023-01-23,317.86,319.89,315.07,319.51,7124807.0
2023-01-24,319.56,322.35,319.37,320.65,12302874.0
2023-01-25,320.6,322.59,317.15,320.93,12497542.0
2023-01-27,323.34,330.01,323.06,327.32,21040139.0
2023-01-30,328.17,332.76,323.39,326.18,14091519.0
2023-01-31,327.32,335.83,322.63,333.32,17134291.0
2023-02-01,333.94,345.95,311.33,341.88,64518967.0
2023-02-02,342.07,363.93,340.94,358.16,55745171.0
2023-02-03,361.28,361.61,351.91,360.09,22295321.0
2023-02-06,361.85,367.24,359.1,362.7,25790153.0
2023-02-07,363.17,363.17,348.55,353.09,20643707.0
2023-02-08,354.51,356.93,351.49,355.27,10420462.0
2023-02-09,353.8,359.48,352.05,354.04,11861196.0
2023-02-10,352.1,356.59,350.3,351.3,10278597.0
2023-02-13,352.86,354.89,350.02,353.99,9901148.0
2023-02-14,354.75,366.72,353.57,365.58,29125052.0
2023-02-15,361.14,362.18,358.11,361.56,12209350.0
2023-02-16,361.37,364.45,360.43,361.89,9775280.0
2023-02-17,360.47,363.78,358.77,362.7,7672135.0
2023-02-20,363.93,366.58,360.71,363.31,7804976.0
2023-02-21,364.21,365.06,361.09,361.61,8259574.0
2023-02-22,361.37,364.12,359.48,363.12,8961077.0
2023-02-23,363.69,372.72,362.41,366.67,18830592.0
2023-02-24,367.99,367.99,360.43,364.3,12910220.0
2023-02-27,364.3,365.91,357.68,361.56,8142319.0
2023-02-28,361.85,363.5,354.75,356.36,16367477.0
2023-03-01,354.04,359.86,353.43,358.25,7766667.0
2023-03-02,359.01,359.24,354.47,355.27,5019603.0
2023-03-03,356.64,364.59,355.79,364.16,8180709.0
2023-03-06,365.06,371.31,364.45,367.19,10714339.0
2023-03-08,367.05,371.92,364.3,371.21,8917699.0
2023-03-09,370.93,372.35,364.82,366.58,9634283.0
2023-03-10,366.05,369.13,362.79,367.05,8362265.0
2023-03-13,368.18,369.79,361.85,362.93,8791872.0
2023-03-14,364.87,365.58,356.83,359.2,10229766.0
2023-03-15,360.43,363.55,357.59,358.91,8423692.0
2023-03-16,360.05,361.7,356.5,360.85,15710094.0
2023-03-17,364.21,364.21,349.69,355.27,48904254.0
2023-03-20,353.14,358.87,351.91,358.34,10122167.0
2023-03-21,358.34,358.34,353.85,356.59,11610832.0
2023-03-22,356.59,358.39,353.99,357.35,4774867.0
2023-03-23,356.64,362.08,354.18,360.09,9752326.0
2023-03-24,360.9,362.32,357.59,358.25,9934501.0
2023-03-27,357.54,363.64,356.03,359.67,10816352.0
2023-03-28,359.67,361.7,357.73,359.24,9170535.0
2023-03-29,359.67,363.26,356.78,362.08,10160322.0
2023-04-03,363.26,363.26,358.06,358.44,7059200.0
2023-04-05,358.44,366.15,358.44,365.53,11608424.0
2023-04-06,365.77,369.22,363.45,366.43,12897667.0
2023-04-10,366.43,368.94,363.97,367.57,6783022.0
2023-04-11,367.57,376.6,367.05,374.62,18237451.0
2023-04-12,376.27,376.32,370.93,372.3,9747526.0
2023-04-13,374.14,375.18,372.44,374.24,6059044.0
2023-04-17,371.68,380.29,371.68,378.54,11041243.0
2023-04-18,378.4,380.29,375.56,376.98,9494641.0
2023-04-19,374.66,379.68,374.62,377.22,9744202.0
2023-04-20,378.4,380.91,376.22,378.68,6667781.0
2023-04-21,378.68,386.91,377.5,386.2,14252204.0
2023-04-24,387.86,387.86,382.37,386.63,5981760.0
2023-04-25,386.63,391.22,385.4,389.33,8840188.0
2023-04-26,389.75,390.7,386.96,389.99,7620723.0
2023-04-27,389.94,394.86,388.81,393.54,12614263.0
2023-04-28,395.43,405.12,391.36,402.57,12718721.0
2023-05-02,403.0,403.94,398.46,401.53,10253527.0
2023-05-03,401.1,405.36,399.26,404.08,7325483.0
2023-05-04,402.33,403.94,401.1,401.67,7984933.0
2023-05-05,402.95,408.58,401.44,405.6,12412416.0
2023-05-08,407.73,410.04,406.17,408.15,7243636.0
2023-05-09,409.43,409.76,398.74,400.91,9992962.0
2023-05-10,401.06,403.33,399.4,402.38,9754485.0
2023-05-11,404.18,404.32,396.28,397.7,15982423.0
2023-05-12,397.7,399.87,393.58,397.75,11135894.0
2023-05-15,397.32,405.55,396.42,404.7,9151102.0
2023-05-16,406.78,406.78,400.63,401.06,7994197.0
2023-05-17,401.25,405.79,399.78,404.51,9479691.0
2023-05-18,406.78,409.1,395.52,397.04,23995166.0
2023-05-19,398.22,400.25,389.14,397.18,25767521.0
2023-05-22,399.16,402.76,396.47,401.81,15421680.0
2023-05-23,403.0,407.92,401.29,405.98,8732608.0
2023-05-24,405.17,411.27,403.94,410.09,11479706.0
2023-05-25,413.35,418.56,411.32,417.33,18204464.0
2023-05-26,419.46,420.73,415.77,419.65,12995706.0
2023-05-29,420.97,427.4,420.12,424.85,19826254.0
2023-05-30,417.19,427.07,417.19,425.61,18900002.0
2023-05-31,425.04,427.59,418.56,421.44,14272292.0
2023-06-01,422.86,422.86,415.29,415.96,8803137.0
2023-06-02,416.24,420.88,416.05,419.46,9203842.0
2023-06-05,420.97,422.72,416.33,416.85,7152179.0
2023-06-06,417.0,419.65,416.62,418.89,6454486.0
2023-06-07,420.02,421.58,418.84,419.98,7543432.0
2023-06-08,421.63,421.68,418.04,418.98,7024424.0
2023-06-09,411.65,420.69,411.65,414.77,7057843.0
2023-06-12,416.24,417.14,410.42,413.35,8719176.0
2023-06-13,417.19,422.29,414.63,421.35,16111860.0
2023-06-14,422.15,423.57,419.79,420.5,8704178.0
2023-06-15,420.97,424.52,420.73,423.9,7498727.0
2023-06-16,424.75,431.0,423.71,428.63,11729681.0
2023-06-19,430.19,431.28,427.83,429.11,4189180.0
2023-06-20,430.24,430.24,425.84,428.4,4472119.0
2023-06-21,427.59,429.67,421.02,422.91,6059504.0
2023-06-22,423.81,425.37,421.77,423.48,6637099.0
2023-06-23,423.34,423.48,418.79,420.73,6090901.0
2023-06-26,422.77,427.02,420.02,421.63,5477339.0
2023-06-27,422.01,423.05,419.22,421.06,4865596.0
2023-06-28,420.97,426.27,420.5,425.09,12082753.0
2023-06-30,425.7,427.54,422.48,427.21,9106074.0
2023-07-03,427.21,440.79,425.75,438.23,10699143.0
