datetime,open,high,low,close,volume
2023-01-02,208.25,210.2,206.6,209.55,918918.0
2023-01-03,209.6,212.4,209.2,209.65,1123386.0
2023-01-04,210.75,210.95,206.5,208.55,1032590.0
2023-01-05,208.73,211.2,207.0,210.8,994183.0
2023-01-06,211.25,214.2,206.23,208.43,1507150.0
2023-01-09,209.48,212.65,208.75,211.3,1185002.0
2023-01-10,211.85,213.8,209.38,213.23,1451856.0
2023-01-11,214.0,214.0,209.75,210.8,659150.0
2023-01-12,211.45,213.05,208.08,209.4,840124.0
2023-01-13,210.45,211.0,207.18,208.3,968846.0
2023-01-16,209.35,210.13,206.53,207.15,704730.0
2023-01-17,207.25,209.5,206.08,209.23,676674.0
2023-01-18,209.0,211.43,207.88,211.1,572008.0
2023-01-19,210.0,213.13,208.5,209.7,686220.0
2023-01-20,209.98,217.33,209.98,212.45,1986755.0
2023-01-23,212.8,218.0,212.8,215.88,1529093.0
2023-01-24,216.98,216.98,208.85,212.1,1185517.0
2023-01-25,210.25,212.5,204.73,206.58,1051817.0
2023-01-27,208.15,212.25,204.68,208.95,2008195.0
2023-01-30,209.28,210.0,204.75,208.05,1671754.0
2023-01-31,208.25,214.0,207.0,212.73,1359668.0
2023-02-01,213.5,216.75,209.03,211.98,1090246.0
2023-02-02,211.0,214.9,209.1,212.33,940650.0
2023-02-03,213.4,214.2,209.08,209.45,985431.0
2023-02-06,209.25,212.63,207.25,211.63,1131571.0
2023-02-07,210.63,212.38,207.53,210.95,1113439.0
2023-02-08,210.5,218.6,209.43,218.03,1500730.0
2023-02-09,217.1,218.23,213.55,216.58,833664.0
2023-02-10,216.0,222.5,215.0,221.05,2360019.0
2023-02-13,221.55,221.55,215.73,216.93,2405400.0
2023-02-14,216.5,217.63,211.25,215.08,1592363.0
2023-02-15,214.0,218.3,213.83,217.7,1846368.0
2023-02-16,218.25,220.1,215.28,217.9,868863.0
2023-02-17,217.45,218.58,215.0,216.13,661823.0
2023-02-20,216.3,219.35,215.38,218.1,1308768.0
2023-02-21,218.4,223.68,217.23,218.53,3079146.0
2023-02-22,218.55,219.95,216.93,218.08,1117905.0
2023-02-23,218.53,219.43,215.43,216.6,2101824.0
